step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,281,1,0.09432651307203091,0.0,0.0,0.12538673865231684,0.0,0.0
2,858,2,0.05586169642311183,0.0,0.0,,,
3,1307,3,0.054072377850321304,0.0,0.0,,,
4,1420,4,0.10254064338452736,0.0,0.0,,,
5,1789,5,0.04449190114246843,0.0,0.0,,,
6,2782,6,0.02849213017457817,0.0,0.0,,,
7,3343,7,0.030988248029988296,1.0,1.0,,,
8,3592,8,0.035016864910075746,1.0,1.0,,,
9,3681,9,0.04383924366609955,1.0,1.0,0.019932841650663426,1.0,1.0
10,3938,10,0.03947168896933591,1.0,1.0,,,
11,4059,11,0.033680449290252004,1.0,1.0,,,
12,4564,12,0.027442705000642647,1.0,1.0,,,
13,4845,13,0.036340947473542266,1.0,1.0,,,
14,5254,14,0.03251047386868866,1.0,1.0,,,
15,5663,15,0.03155396573816474,1.0,1.0,,,
16,6344,16,0.03376198767874773,1.0,1.0,,,
17,6889,17,0.0281215762074814,1.0,1.0,0.03374963373170128,1.0,1.0
18,7178,18,0.033302242148509124,1.0,1.0,,,
19,7363,19,0.03504242123241294,1.0,1.0,,,
20,7564,20,0.03476415531763923,1.0,1.0,,,
21,8013,21,0.030490023441073256,1.0,1.0,,,
22,8310,22,0.031186974059091887,1.0,1.0,,,
23,8743,23,0.03007521477113995,1.0,1.0,,,
24,9096,24,0.0341392852129287,1.0,1.0,,,
25,9361,25,0.031213323319552178,1.0,1.0,0.02633883537077339,1.0,1.0
26,9794,26,0.03288519072675155,1.0,1.0,,,
27,10227,27,0.03192412838285101,1.0,1.0,,,
28,10356,28,0.034145192318447926,1.0,1.0,,,
29,11029,29,0.024817853648602676,1.0,1.0,,,
30,11182,30,0.032106644202936685,1.0,1.0,,,
31,11527,31,0.028692792540002277,1.0,1.0,,,
32,11928,32,0.029354746313510535,1.0,1.0,,,
33,12017,33,0.024808509364057416,1.0,1.0,0.03192144201328232,1.0,1.0
34,12202,34,0.029260386304372138,1.0,1.0,,,
35,12331,35,0.02981585397024901,1.0,1.0,,,
36,12740,36,0.029378087862230545,1.0,1.0,,,
